time_stamps,processed_1_not_processed_0
2003136.1805,0
2003136.1810,0
2003136.1945,0
2003137.1850,0
2003137.2025,0
2003138.1750,0
2003138.1755,0
2003138.1930,0
2003138.1935,0
2003139.1835,0
2003139.1840,0
2003139.2015,0
2003140.1740,0
2003140.1745,0
2003140.1920,0
2003140.2055,0
2003141.1825,0
2003141.2000,0
2003141.2005,0
2003142.1730,0
2003142.1905,0
2003142.1910,0
2003143.1810,0
2003143.1815,0
2003143.1950,0
2003144.1855,0
2003145.1800,0
2003145.1935,0
2003145.1940,0
2003146.1840,0
2003146.1845,0
2003146.2020,0
2003147.1745,0
2003147.1750,0
2003147.1925,0
2003147.1930,0
2003148.1830,0
2003148.1835,0
2003148.2010,0
2003149.1735,0
2003149.1910,0
2003149.1915,0
2003150.1815,0
2003150.1820,0
2003150.1955,0
2003150.2000,0
2003151.1725,0
2003151.1900,0
2003151.1905,0
2003152.1805,0
2003152.1810,0
2003152.1945,0
2003153.1850,0
2003153.2025,0
2003154.1750,0
2003154.1755,0
2003154.1930,0
2003154.1935,0
2003155.1835,0
2003155.1840,0
